#sample_id	predicted_ancestry	given_ancestry	EAS_prob	AFR_prob	AMR_prob	SAS_prob	EUR_prob	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
BS_0XR7GYAV	EUR		0.0000	0.0000	0.0300	0.0000	0.9700	-0.6635	12.4673	4.5480	7.7068	-1.5448	-2.4380	2.3127	1.6787	3.6263	0.2498
BS_0YFQF89N	SAS		0.0000	0.0000	0.0000	1.0000	0.0000	0.9051	-1.9372	-13.5527	-1.8474	-3.2715	-2.5937	3.0301	-0.3675	4.3422	-2.0709
BS_0YV62XEX	AFR		0.0000	0.9985	0.0015	0.0000	0.0000	47.1343	-12.4998	1.0934	3.9169	-4.0313	-0.1684	1.8563	-1.0283	3.8780	-0.5286
BS_0ZR4XA69	EUR		0.0000	0.0000	0.0351	0.0000	0.9649	0.5577	11.2566	6.4118	8.4252	-1.3815	0.0622	3.7138	1.4480	5.5525	0.2439
BS_1034EC8V	EUR		0.0000	0.0000	0.0231	0.0000	0.9769	1.2087	13.0259	4.3246	7.5082	-3.8672	-1.9249	1.4585	-1.4299	4.7775	-2.2620
BS_14EZDZE6	EUR		0.0000	0.0000	0.0708	0.0000	0.9292	3.2912	10.5929	1.8294	7.5610	-0.3078	-5.7666	1.8111	0.3130	4.0976	-1.7395
BS_14G6WY88	AFR		0.0000	0.9998	0.0002	0.0000	0.0000	59.0380	-15.2152	0.0502	2.4907	-3.4255	-0.4459	2.3549	-0.7515	3.6841	-2.1741
BS_154FP4ZQ	EUR		0.0000	0.0000	0.0498	0.0000	0.9502	2.1002	10.3446	3.5117	7.9558	-3.6807	-0.7063	0.9997	0.4840	2.9075	1.2247
BS_16JT2DCA	SAS		0.0000	0.0000	0.0000	1.0000	0.0000	-1.3535	-4.8347	-18.0795	-4.7037	-3.6561	0.1052	-2.8863	-0.6667	5.0226	-3.1557
BS_19EJ85F8	AFR		0.0001	0.5334	0.4665	0.0000	0.0000	24.0723	-22.0843	0.6330	3.7932	-0.4986	-1.4242	2.2243	0.0497	3.1783	-0.6493
BS_1AZ8YJSH	EUR		0.0000	0.0000	0.0378	0.0000	0.9622	0.5248	10.7915	4.4678	7.0170	-5.0481	0.6680	0.9422	-0.6054	5.1009	0.4079
BS_1BQ1WBCT	EUR		0.0000	0.0000	0.0149	0.0000	0.9851	-1.5812	11.8569	3.5414	8.0282	-3.1492	1.0878	1.7016	-0.4247	3.6714	-3.1717
BS_1C3RDKQH	EUR		0.0000	0.0000	0.0169	0.0000	0.9831	0.1518	11.6126	3.4060	9.2410	-2.8999	-0.9008	2.2749	-1.0366	3.5733	-1.4936
BS_1CXWXC2H	EUR		0.0000	0.0000	0.0630	0.0000	0.9370	3.0596	8.9184	2.6828	8.9399	-2.6104	-4.3777	2.6740	-1.5066	4.6452	-0.1323
BS_1DM8G1V8	EUR		0.0000	0.0000	0.0570	0.0000	0.9430	0.0339	12.1774	6.3439	5.3301	-4.3292	-2.2619	2.5175	-2.0601	4.7213	-0.2880
BS_1G71S350	EUR		0.0000	0.0000	0.0105	0.0000	0.9895	0.6013	13.5961	4.7310	8.3808	-2.7750	1.0326	4.2188	-1.8410	5.5390	-2.8852
