#sample_id	predicted_ancestry	given_ancestry	EAS_prob	AFR_prob	AMR_prob	SAS_prob	EUR_prob	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
HG03442	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	63.4095	18.8081	0.5321	1.3006	-1.1222	-1.4992	-5.1309	1.9944	-1.5813	-2.8201
HG02721	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	61.9739	18.7789	-0.2061	0.3223	-2.9235	-1.6170	-5.4800	1.1218	1.4083	1.5134
NA20769	EUR	EUR	0.0000	0.0000	0.0129	0.0000	0.9871	0.2128	-13.2494	-4.4896	8.6830	-3.1952	2.9676	-2.0620	4.1821	0.4367	-4.0210
NA20362	AFR	AFR	0.0000	0.9339	0.0661	0.0000	0.0000	49.4592	11.4648	-2.0387	2.0468	0.6069	-0.7265	0.0210	-0.2649	1.2978	3.8472
HG03862	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	1.6928	6.2195	18.6318	-6.1644	1.1377	-0.5637	3.1249	-0.2203	1.9104	1.7148
NA19248	AFR	AFR	0.0000	0.9999	0.0001	0.0000	0.0000	63.6216	16.8971	-0.1966	0.8723	0.2281	0.5332	-4.8585	0.4339	1.6364	-2.4765
HG00108	EUR	EUR	0.0000	0.0000	0.0150	0.0000	0.9850	-1.1914	-11.6014	-6.5007	9.0575	0.4468	3.1058	-3.2656	-0.5192	-1.2983	3.6717
HG02102	AMR	AMR	0.0000	0.0004	0.9996	0.0000	0.0000	-5.5795	21.1830	-21.4891	-30.7325	-1.5270	3.2977	0.1804	4.1694	4.7442	0.4842
NA18631	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-7.7660	45.2822	-2.3187	6.8824	1.7249	-3.2852	1.8796	-1.7110	-0.4535	1.6498
HG02408	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-6.5823	42.4870	-0.9625	8.1169	-5.3997	3.4250	-1.6975	-0.2819	2.0020	1.7222
HG01495	AMR	AMR	0.0000	0.0018	0.9982	0.0000	0.0000	6.2504	3.9926	-13.0656	-8.9700	-2.0319	-2.4583	-5.4337	3.6959	-0.7561	4.0533
HG00371	EUR	EUR	0.0000	0.0000	0.0001	0.0000	0.9999	0.1061	-7.1844	-3.8834	9.1349	6.3590	2.8528	-2.9343	4.1739	2.6113	-3.0060
HG00185	EUR	EUR	0.0000	0.0000	0.0016	0.0000	0.9984	-1.4519	-7.2011	-6.5505	9.3325	8.0566	3.5354	-4.9226	6.8892	2.1288	1.1376
HG01029	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-7.1683	44.5509	-1.2935	7.5743	-4.8535	4.2250	-3.8038	3.8540	1.9090	-0.0574
HG02471	AFR	AFR	0.0000	0.9998	0.0002	0.0000	0.0000	58.3683	15.9451	-2.0804	1.6328	0.1058	3.4770	-5.1787	0.8492	-2.1891	-1.3308
NA20790	EUR	EUR	0.0000	0.0000	0.0129	0.0000	0.9871	2.1217	-13.9310	-3.1184	10.0407	-2.1388	-4.4578	0.2318	-3.7544	-6.6025	-3.7465
HG04183	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	1.9902	11.3391	16.3467	-3.7743	-3.4687	1.4663	-0.6748	-1.1696	1.5439	-2.1115
HG01866	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-6.6680	43.0264	-1.8626	7.7684	-4.5504	-0.2075	-2.9603	0.7776	4.6774	-0.4537
HG00309	EUR	EUR	0.0000	0.0000	0.0009	0.0000	0.9991	-0.1738	-8.8479	-4.1934	7.2015	9.4654	6.9590	-0.7098	-1.1570	-1.9647	3.2030
NA19756	AMR	AMR	0.0000	0.0018	0.9982	0.0000	0.0000	0.4823	8.1699	-13.4359	-11.0013	-0.7764	-2.1579	-1.6939	2.3805	0.1447	-2.4433
HG02156	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-6.6203	44.6754	-0.4308	7.5163	-4.2871	1.7252	-0.4735	4.4033	1.1231	-1.0319
NA20274	AFR	AFR	0.0000	0.6081	0.3919	0.0000	0.0000	16.1914	15.6918	-10.8303	-11.4645	2.3330	-1.8798	-4.7547	-4.8446	3.8001	-0.3926
HG00365	EUR	EUR	0.0000	0.0000	0.0003	0.0000	0.9997	-0.2529	-8.8567	-3.5528	9.5211	5.7703	5.2775	-6.5841	2.1036	-0.7539	-1.7789
HG03760	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	0.0248	8.5385	19.9949	-5.5678	-2.9823	-2.6410	-0.6236	2.4802	0.1401	-0.3461
HG01992	AMR	AMR	0.0000	0.0006	0.9994	0.0000	0.0000	-6.1100	19.7707	-23.4004	-34.5410	1.2221	1.3187	-4.3588	-1.1276	-0.9254	-0.1279
