#sample_id	predicted_ancestry	given_ancestry	EAS_prob	AFR_prob	AMR_prob	SAS_prob	EUR_prob	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
HG03949	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-2.8135	-6.9226	-19.7312	-4.6438	-2.3137	1.6404	-2.8569	3.9824	0.8626	-6.8984
HG03872	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-2.6428	-8.0696	-19.7724	-4.4441	0.7633	-4.2926	-1.0068	-2.5031	-3.7973	0.6345
HG00443	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	7.7478	-45.1929	2.4013	7.6766	-1.9980	-2.2106	-5.7575	1.1275	-2.4535	-3.8158
HG00560	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	8.6029	-44.4565	1.4815	6.0803	-1.6702	0.2383	-4.0679	1.6737	-1.0831	-3.2445
NA19384	AFR	AFR	0.0000	0.9999	0.0001	0.0000	0.0000	-60.0121	-16.6870	-0.6878	0.8817	-2.7015	-0.1585	-7.0363	-0.4973	-2.1412	-1.6246
HG02623	AFR	AFR	0.0000	0.9989	0.0011	0.0000	0.0000	-61.5407	-17.5790	1.3877	1.4255	0.6769	-0.5012	-3.7745	-1.4300	-4.9531	-4.9245
HG01312	AMR	AMR	0.0000	0.0007	0.9992	0.0000	0.0001	-8.1729	5.1724	6.4264	4.2653	0.2477	-2.1216	-5.0002	8.4708	2.1961	-2.0996
HG00879	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	6.8047	-44.5919	1.0616	7.8645	-9.9141	-0.2281	-4.8250	-2.2735	-4.1380	-1.8612
NA19473	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-59.3994	-16.4239	-0.1324	1.7089	0.6320	-2.7857	-7.4323	0.2674	-6.7756	-3.9035
HG02002	AMR	AMR	0.0000	0.0005	0.9995	0.0000	0.0000	5.0386	-17.1523	20.4320	-29.9454	-0.7218	-0.7913	-0.1420	0.5302	-4.7046	-0.7276
HG02568	AFR	AFR	0.0000	0.9998	0.0002	0.0000	0.0000	-60.0429	-16.4415	-1.3753	0.6018	-4.4160	-0.1579	-1.9037	-2.0767	-6.5712	-0.3616
HG02315	AFR	AFR	0.0000	0.9999	0.0001	0.0000	0.0000	-54.8978	-13.6165	0.5330	1.0371	-1.5244	-0.4054	-0.8343	2.5260	-2.2588	-0.7861
HG01486	AMR	AMR	0.0000	0.0108	0.9892	0.0000	0.0000	1.0741	-2.0439	13.2745	-10.1336	1.8659	-5.9738	-5.8193	-4.0253	-4.9707	2.4168
NA19428	AFR	AFR	0.0000	0.9999	0.0001	0.0000	0.0000	-59.5842	-17.4051	0.8862	1.6444	-3.6224	-3.6260	-9.2419	-1.6544	-3.8936	-3.3476
HG01405	AMR	AMR	0.0000	0.0009	0.9970	0.0001	0.0020	-4.8932	6.2695	6.5519	2.7744	0.1209	-1.8530	-4.7021	-1.8339	-0.9160	-2.3980
HG03539	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-58.5317	-17.2029	-0.0940	2.6877	0.5746	0.0717	-1.5416	0.8181	-3.7386	-3.3203
HG02104	AMR	AMR	0.0000	0.0001	0.9999	0.0000	0.0000	6.2056	-22.0304	23.1225	-36.4090	-2.6591	0.3751	-2.1804	2.6372	-4.7254	-3.9753
HG03867	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-1.1270	-10.9677	-21.3318	-5.2626	0.9394	2.1738	-5.4331	4.8632	-7.1140	-0.6011
HG02308	AFR	AFR	0.0000	0.9999	0.0001	0.0000	0.0000	-55.8688	-14.6414	1.0652	2.1286	0.9129	-2.5607	-1.0693	-0.3730	-4.2857	-4.7294
HG01951	AMR	AMR	0.0000	0.0028	0.9972	0.0000	0.0000	5.5511	-23.9025	22.4974	-38.4660	-1.5601	-4.0809	-1.5744	0.0092	-3.3202	-2.2679
