#sample_id	predicted_ancestry	given_ancestry	CHB_prob	KHV_prob	CHS_prob	ASW_prob	CDX_prob	YRI_prob	GWD_prob	MXL_prob	ITU_prob	CEU_prob	IBS_prob	GIH_prob	ACB_prob	CLM_prob	LWK_prob	PUR_prob	BEB_prob	FIN_prob	PEL_prob	MSL_prob	ESN_prob	TSI_prob	PJL_prob	GBR_prob	STU_prob	JPT_prob	PC1	PC2	PC3	PC4	PC5
1272851_D1	IBS		0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0006	0.0000	0.1640	0.2432	0.0000	0.0000	0.0082	0.0000	0.0141	0.0000	0.2323	0.0000	0.0000	0.0000	0.1871	0.0000	0.1505	0.0000	0.0000	0.7173	-10.9987	-3.1513	-9.6695	-2.6540
1272852_D1	IBS		0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0010	0.0000	0.1465	0.2536	0.0000	0.0000	0.0114	0.0000	0.0312	0.0000	0.2119	0.0000	0.0000	0.0000	0.2106	0.0000	0.1337	0.0000	0.0000	-1.9388	-9.8126	-1.5222	-9.6012	-0.0365
1272853_D1	IBS		0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0009	0.0000	0.1620	0.2527	0.0000	0.0000	0.0118	0.0000	0.0208	0.0000	0.2191	0.0000	0.0000	0.0000	0.1843	0.0000	0.1484	0.0000	0.0000	-0.0159	-11.4397	-4.4185	-8.4290	-1.1962
1272854_D1	IBS		0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0013	0.0000	0.1421	0.2774	0.0000	0.0000	0.0157	0.0000	0.0535	0.0000	0.1528	0.0000	0.0000	0.0000	0.2246	0.0000	0.1326	0.0000	0.0000	-4.1586	-11.5827	-1.9944	-7.4504	-2.2390
1272855_D1	IBS		0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0012	0.0000	0.1542	0.2607	0.0000	0.0000	0.0147	0.0000	0.0361	0.0000	0.2076	0.0000	0.0000	0.0000	0.1838	0.0000	0.1417	0.0000	0.0000	-1.9713	-11.2985	-4.6826	-8.0636	-3.1575
1272856_D1	IBS		0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0009	0.0000	0.1549	0.2697	0.0000	0.0000	0.0111	0.0000	0.0287	0.0000	0.1734	0.0000	0.0000	0.0000	0.2160	0.0000	0.1453	0.0000	0.0000	-2.3265	-11.8547	-2.1807	-8.2562	-1.8293
1272857_D1	KHV		0.1556	0.3879	0.1647	0.0001	0.1562	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1353	6.6591	39.0385	0.1414	-6.6446	0.5242
1272858_D1	IBS		0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0007	0.0000	0.1609	0.2828	0.0000	0.0000	0.0097	0.0000	0.0224	0.0000	0.1685	0.0000	0.0000	0.0000	0.2040	0.0000	0.1511	0.0000	0.0000	-1.7416	-12.7548	-4.1812	-8.3965	-2.0489
1272859_D1	IBS		0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0012	0.0000	0.1502	0.2726	0.0000	0.0000	0.0150	0.0000	0.0406	0.0000	0.1686	0.0000	0.0000	0.0000	0.2119	0.0000	0.1399	0.0000	0.0000	-2.9109	-11.8280	-2.9496	-7.4401	-1.2349
1272860_D1	IBS		0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0007	0.0000	0.1662	0.2690	0.0000	0.0000	0.0102	0.0000	0.0194	0.0000	0.1847	0.0000	0.0000	0.0000	0.1938	0.0000	0.1558	0.0000	0.0000	-0.7150	-12.7587	-4.4476	-8.0194	-1.5057
